group,field,pgType,jsonType,maxLength,domain,dbfName,description
mapped,poolId,text,string,20,,POOLID,"Alias of mappedPoolId, retained for compatibility."
mapped,poolStatus,text,string,10,Potential|Probable|Confirmed|Eliminated|Duplicate,POOLSTATUS,"Alias of mappedPoolStatus, retained for compatibility."
mapped,townName,text,string,20,,TOWNNAME,Town containing the pool.
mapped,countyName,text,string,10,,COUNTYNAME,County containing the pool. Stored uppercase.
mapped,vpatlas_pool_url,text,string,75,,VPAPOOURL,Deep link to the pool on vpatlas.org.
mapped,mappedPoolId,text,string,20,,MAPPOOID,Unique VPAtlas identifier for the pool. Identifiers prefixed NEW were assigned by the atlas; others carry the identifier from the source dataset.
mapped,mappedDateText,date,string,,,MAPDATTEXT,Date the pool was mapped or first entered into the atlas.
mapped,mappedLatitude,numeric,number,,,MAPLATITUD,"Latitude of the mapped pool centre, WGS84 decimal degrees."
mapped,mappedLongitude,numeric,number,,,MAPLONGITU,"Longitude of the mapped pool centre, WGS84 decimal degrees."
mapped,mappedConfidence,enum:vp_pool_mapped_confidence_type,string,10,L|ML|M|MH|H|UNK,MAPCONFIDE,"Mapper's confidence that the mapped feature is a vernal pool, from L (low) through H (high). UNK where not assessed."
mapped,mappedSource,text,string,50,,MAPSOURCE,"Dataset, project or organisation the pool record originated from."
mapped,mappedSource2,text,string,10,,MAPSOURCE2,"Secondary source, where the record was corroborated by or merged from more than one origin."
mapped,mappedPhotoNumber,text,string,10,,MAPPHONUMB,"Reference number of the photograph taken of the pool, where one exists."
mapped,mappedLocationAccuracy,enum:vp_pool_mapped_location_accuracy_type,string,10,L|ML|M|MH|H|UNK,MAPLOCACCU,"Confidence in the positional accuracy of the mapped coordinates, from L (low) through H (high). UNK where not assessed."
mapped,createdAt,timestamp without time zone,string,,,CREATEDAT,Timestamp the record was created in VPAtlas (UTC).
mapped,updatedAt,timestamp without time zone,string,,,UPDATEDAT,Timestamp the record was last modified in VPAtlas (UTC).
mapped,mappedMethod,enum:vp_mapped_method,string,10,Aerial|Known|Visit|Survey|CIR|LiDAR|LiDAR_NDWI|NDWI,MAPMETHOD,"How the pool was identified: Aerial photography, CIR or LiDAR imagery, NDWI, a field Visit or Survey, or previously Known."
mapped,mappedLandownerPermission,boolean,integer,,,MAPLANPERM,"Whether landowner permission to access the pool is on record. 1 = yes, 0 = no. Landowner identity is not published."
mapped,mappedLocationUncertainty,text,string,20,,MAPLOCUNCE,Positional uncertainty of the mapped coordinates as recorded by the mapper.
mapped,mappedPoolStatus,enum:vp_pool_status_type,string,10,Potential|Probable|Confirmed|Eliminated|Duplicate,MAPPOOSTAT,Verification status of the pool. Potential means mapped but unvisited; Probable and Confirmed reflect field evidence. Eliminated and Duplicate records are not published.
visit,poolId,text,string,20,,POOLID,"Alias of mappedPoolId, retained for compatibility."
visit,poolStatus,text,string,10,Potential|Probable|Confirmed|Eliminated|Duplicate,POOLSTATUS,"Alias of mappedPoolStatus, retained for compatibility."
visit,townName,text,string,20,,TOWNNAME,Town containing the pool.
visit,countyName,text,string,10,,COUNTYNAME,County containing the pool. Stored uppercase.
visit,vpatlas_pool_url,text,string,75,,VPAPOOURL,Deep link to the pool on vpatlas.org.
visit,vpatlas_visit_url,text,string,50,,VPAVISURL,Deep link to the visit on vpatlas.org.
visit,visitId,integer,integer,,,VISITID,Unique identifier for this visit record.
visit,visitPoolId,text,string,10,,VISPOOID,Identifier of the pool visited; joins to mappedPoolId.
visit,visitDate,date,string,,,VISITDATE,Date the pool was visited.
visit,visitLocatePool,text,string,10,,VISLOCPOOL,"Whether the observer was able to locate the pool in the field. Values are inconsistent across the record's history (Yes/No, true/false, 1/0/-1)."
visit,visitCertainty,text,string,20,,VISCERTAIN,"Observer's certainty that the feature found was the mapped pool: Certain, Pretty Sure or Not Sure."
visit,visitNavMethod,text,string,25,,VISNAVMETH,"How the observer navigated to the pool: GPS, Map, Map and compass, prior knowledge of the site, or other."
visit,visitCoordSource,text,string,50,,VISCOOSOUR,"Source of the coordinates used to find the pool, often the name of an originating shapefile or GPS."
visit,visitLatitude,numeric,number,,,VISLATITUD,"Latitude recorded at the pool during the visit, WGS84 decimal degrees."
visit,visitLongitude,numeric,number,,,VISLONGITU,"Longitude recorded at the pool during the visit, WGS84 decimal degrees."
visit,visitVernalPool,text,string,10,,VISVERPOOL,"Observer's determination of whether the feature is a vernal pool: Yes, No or Don't Know."
visit,visitPoolType,text,string,50,,VISPOOTYPE,"Landform setting of the pool, such as Isolated Forest Depression, Floodplain Depression, or Manmade."
visit,visitInletType,text,string,20,,VISINLTYPE,Nature of any inflow to the pool.
visit,visitOutletType,text,string,20,,VISOUTTYPE,Nature of any outflow from the pool.
visit,visitForestUpland,text,string,10,,VISFORUPLA,"Dominant forest type of the surrounding upland: Coniferous, Deciduous, Hardwood, Mixed, Open/Field or Other."
visit,visitForestCondition,text,string,20,,VISFORCOND,"Condition of the surrounding forest: Undisturbed, Old Growth, Minor logging, Major logging or Other."
visit,visitHabitatAgriculture,boolean,integer,,,VISHABAGRI,"Agricultural land present in the surrounding habitat. 1 = yes, 0 = no."
visit,visitHabitatLightDev,boolean,integer,,,VISHALIDEV,"Light development present in the surrounding habitat. 1 = yes, 0 = no."
visit,visitHabitatHeavyDev,boolean,integer,,,VISHAHEDEV,"Heavy development present in the surrounding habitat. 1 = yes, 0 = no."
visit,visitHabitatPavedRd,boolean,integer,,,VISHAPARD,"Paved road present in the surrounding habitat. 1 = yes, 0 = no."
visit,visitHabitatDirtRd,boolean,integer,,,VISHADIRD,"Dirt road present in the surrounding habitat. 1 = yes, 0 = no."
visit,visitHabitatPowerline,boolean,integer,,,VISHABPOWE,"Powerline corridor present in the surrounding habitat. 1 = yes, 0 = no."
visit,visitHabitatOther,text,string,150,,VISHABOTHE,Other surrounding habitat feature not covered by the habitat flags.
visit,visitHabitatComment,text,string,254,,VISHABCOMM,Observer's notes on the surrounding habitat. Truncated to 254 characters in the shapefile export.
visit,visitMaxDepth,text,string,20,,VISMAXDEPT,Maximum water depth observed. Free text; values range from measurements to descriptive depths such as 'Knee-deep'.
